catalogue id	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
SG100K	SG100K	mint aggregation	COHO:0002696	SG100K		PRECISE-SG100K|SG100K cohort|SG100K population study	cohort aggregation				PMID:41469377		Panel a) admixture analysis of the HELIOS (labelled SG100K) data using SCOPE with k=6 populations.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12764833/supplementaryFiles	A collection of four longitudinal population health cohorts in Singapore (HELIOS, the Singapore Population Health Studies, the Singapore Epidemiology of Eye Diseases and SingHeart), brought together under an NMRC grant and in partnership with Precision Health Research, Singapore (PRECISE) and the Genome Institute of Singapore in phase II of the National Precision Medicine programme, whose multi-ancestry Asian participants were whole-genome sequenced and linked to electronic health records to study the determinants and prediction of cardiovascular disease and diabetes in Asian populations.	https://www.npm.sg/our-data-users/data-access/data-access-to-precise-sg100k/|PMID:41469377	Claude Opus 5.5 (Anthropic), 2026-09	Singapore	The PRECISE-SG100K resource is a unique multi-ancestry Asian population cohort dataset of ~100,000 Singaporean residents, jointly created by PRECISE, SG100K Institutions and GIS.	https://www.npm.sg/our-data-users/data-access/data-access-to-precise-sg100k/					IHCC Cohort Atlas entry "SG100K" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas's SG100K (lead John Chambers, the HELIOS PI; 60,000 enrolled of 100,000 targeted; website npm.sg SG100K page, now a 404) is the SG100K cohort of Singapore's National Precision Medicine programme phase II. PRECISE describes it as 'Funded by an NMRC OF-LCG grant that brought together four longitudinal cohorts in Singapore, the SG100K cohort is an Investigator-Initiated Study focused on determinants and prediction of cardiovascular disease and diabetes in Asian populations.' Because it is made of four distinct, separately run cohorts, I have typed it a cohort aggregation. Members in COHO: HELIOS (COHO:0000426) and SEED (COHO:0000763); the other two, 'Singapore Population Health Studies (SPHS), NUS' and 'SingHeart, NHCS' (same page), have no COHO term. (SPHS includes the Singapore Multi-Ethnic Cohort, COHO:0000612, but the page does not say so, so I have not linked it.) SG100K is distinct from the phase I SG10K_Health / SG10K Pilot (COHO:0000332). No paper analysing the full SG100K dataset turned up in Europe PMC (its first release was due in 2026); the example is the HELIOS design paper, whose supplement analyses HELIOS data labelled SG100K. If the curator would rather treat SG100K as one cohort with the four as sub-cohorts, the same members apply with isSubCohortOf. Could not read: PMID:42527559, PMID:36658435.
23andMe	23andMe	existing	COHO:0000449			23andMe																			IHCC Cohort Atlas entry "23andMe" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
National Autonomous University of Mexico	National Autonomous University of Mexico	existing	COHO:0000520																						IHCC Cohort Atlas entry "National Autonomous University of Mexico" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas lists the institution, the National Autonomous University of Mexico (UNAM), but every other field is the Mexico City Prospective Study: the website is the Oxford CTSU page 'prospective blood-based study of 150,000 individuals in Mexico', the lead is an Oxford MCPS investigator, enrolment 1998-2004 and 150,000 participants. PMID:37308787 says 'The MCPS is a large prospective cohort of 150,000 individuals recruited between 1998 and 2004' and 'The MCPS represents a long-standing collaboration between researchers at the UNAM and the University of Oxford.' So it is COHO:0000520 (Mexico City Prospective Study, MCPS). The atlas name is an institution, not a name of the cohort, so I propose no synonym; a cross-reference to the atlas entry is enough.
Generations Study	Generations Study	existing	COHO:0000942			Generations Study																			IHCC Cohort Atlas entry "Generations Study" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
SAPRIN (South African Population Research Infrastructure Network)	SAPRIN (South African Population Research Infrastructure Network)	mint aggregation	COHO:0002697	South African Population Research Infrastructure Network	SAPRIN	SAPRIN (South African Population Research Infrastructure Network)|SAPRIN population cohort	cohort aggregation				PMID:39282516		The dataset harmonises and links routinely collected VA data from the South African Population Research Infrastructure Network (SAPRIN).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11399759/fullTextXML	A national network, established in 2016 by South Africa's Department of Science and Innovation and hosted by the South African Medical Research Council, that harmonises the longitudinal population surveillance of health and demographic surveillance system (HDSS) nodes in South Africa, starting from the rural Agincourt, DIMAMO and Africa Health Research Institute HDSSs and extending to urban nodes, to provide up-to-date longitudinal health, demographic and socioeconomic data for research and national policy.	PMID:34966919|http://saprin.mrc.ac.za/	Claude Opus 5.5 (Anthropic), 2026-09	South_Africa	Since SAPRIN’s inception in 2016, three existing health and demographic surveillance system (HDSS) nodes in South Africa have been brought together to form a harmonized national network, namely: MRC/Wits University Agincourt HDSS in Bushbuckridge District, Mpumalanga, established in 1992 with a 2019 population of 115 000 individuals	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9365637/fullTextXML					IHCC Cohort Atlas entry "SAPRIN (South African Population Research Infrastructure Network)" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. SAPRIN is a network of separately run health and demographic surveillance systems, which the cohort profile calls 'a harmonized network of population-based cohorts', so it is a cohort aggregation. The atlas enrolment start of 1992 is the Agincourt HDSS start. Member in COHO: Agincourt HDSS (COHO:0000912). The other founding nodes, the AHRI HDSS (formerly the Africa Centre Demographic Information System, KwaZulu-Natal) and the DIMAMO HDSS (formerly Dikgale HDSS, Limpopo), and the newer urban nodes (GRT-INSPIRED, C-SHARP, USINGA, and BAMMISHO) have no COHO terms; the founding nodes could be minted as members, both named in the cohort profile ('The three HDSS founding nodes are hosted by the Medical Research Council/Wits Rural Public Health and Health Transitions Research Unit (Agincourt) in Mpumalanga province, the University of Limpopo (DIMAMO) in Limpopo province and the Africa Health Research Institute (AHRI) in KwaZulu-Natal.'). The cohort profile was read from Europe PMC directly because it was not in the cache; I have requested it.
Bandim Health Project	Bandim Health Project	existing	COHO:0000488			Bandim Health Project																			IHCC Cohort Atlas entry "Bandim Health Project" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Finnish Maternity Cohort Serum Bank	Finnish Maternity Cohort Serum Bank	existing	COHO:0002610			Finnish Maternity Cohort Serum Bank																			IHCC Cohort Atlas entry "Finnish Maternity Cohort Serum Bank" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (Finland, enrolment 1983-2016, 950,000 enrolled, website of European Science Infrastructure Services, which administers access to the FMC) is the Finnish Maternity Cohort's first-trimester serum collection, which is exactly what COHO:0002610 'Finnish Maternity Cohort' (FMC, MAT) describes. PMID:29071810 gives the same founding year (1983) and about a million women. Add the atlas name 'Finnish Maternity Cohort Serum Bank' as a synonym; nothing else is missing.
LIFEPATH (Lifecourse biological pathways underlying social differences in healthy aging)	LIFEPATH (Lifecourse biological pathways underlying social differences in healthy aging)	mint aggregation	COHO:0002698	Lifecourse biological pathways underlying social differences in healthy aging	LIFEPATH|Lifepath	LIFEPATH (Lifecourse biological pathways underlying social differences in healthy aging)|LIFEPATH Consortium|Lifepath Consortium|LIFEPATH project	cohort aggregation				PMID:28557991		Information on the available social indicators (education, own and father’s occupational class, income) from eleven adult cohorts participating in LIFEPATH	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5448763/fullTextXML	A research consortium funded by the European Commission under Horizon 2020 that pooled and harmonised data from existing adult and child cohort studies in Europe, the USA and Australia, including CoLaus, SKIPOGH, Constances and the Melbourne Collaborative Cohort Study, with biomarker and omics sub-studies, to investigate the biological pathways through which socioeconomic position affects healthy ageing over the life course.	PMID:28557991|PMID:32478023|http://www.lifepathproject.eu/	Claude Opus 5.5 (Anthropic), 2026-09	United_Kingdom|France|Switzerland|Portugal|Italy|United_States|Australia || Republic_of_Ireland	Lifepath researchers explored SEP as a risk factor for adult NCDs in a multi-cohort study of over 1.7 million individuals from 48 independent cohorts from the UK, France, Switzerland, Portugal, Italy, the USA, and Australia || one Irish cohort (TILDA [58], random sample of community dwelling older persons aged 50 years+)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7235337/fullTextXML || https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5448763/fullTextXML					IHCC Cohort Atlas entry "LIFEPATH (Lifecourse biological pathways underlying social differences in healthy aging)" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. LIFEPATH was a Horizon 2020 research project run as a consortium of existing cohorts ('the consortium is composed of' eleven adult cohorts, plus seven child cohorts), so it is a cohort aggregation rather than a cohort; the atlas's 'Europe, Australia, USA' matches. Its membership differs between analyses (the 2017 mortality meta-analysis pooled 48 cohorts), so the members listed are only the core adult cohorts named in PMID:28557991 that have COHO terms: CoLaus (COHO:0000522), SKIPOGH (COHO:0001405), Constances (COHO:0002624) and MCCS (COHO:0000523). EPIPorto, E3N, Gazel, EPIC-Italy, WHIP-retired, TILDA and Whitehall II have no COHO terms (COHO:0002571 'Whitehall Study' is an uncurated placeholder, not clearly Whitehall II). Europe is not a country; the countries are those the special report names, plus Ireland (TILDA). The atlas's lead investigator is not the project PI named in the papers; that does not affect the identity. A curator may instead judge a funded research project not to be a cohort aggregation, since it created no cohort of its own; I chose aggregation because the papers treat it as a consortium of named cohorts.
VHM&PP	VHM&PP	mint cohort	COHO:0002699	Vorarlberg Health Monitoring and Prevention Programme	VHM&PP	Vorarlberg Health Monitoring and Prevention Program|Vorarlberg Health Monitoring and Promotion Program|VHM&PP Study Cohort	cohort				PMID:16234822		Between 1985 and 2001, 167 371 adult Vorarlberg residents were enrolled in the VHM&PP Study Cohort after signing an informed consent to store and process personal data (height, weight, smoking and other factors).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2361672/fullTextXML	A population-based cohort of adult residents of Vorarlberg, the westernmost province of Austria, enrolled from 1985 through a routine risk-factor surveillance and prevention programme run by the Agency for Social and Preventive Medicine, in which local physicians carried out a physical examination, blood test and consultation, and followed by linkage to the Vorarlberg cancer registry and death index to study metabolic and other risk factors for cancer, cardiovascular disease and mortality.	PMID:16234822|PMID:19380371	Claude Opus 5.5 (Anthropic), 2026-09	Austria	The Vorarlberg Health Monitoring and Promotion Program (VHM&PP) is carried out in Vorarlberg, the westernmost province of Austria.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2361672/fullTextXML					IHCC Cohort Atlas entry "VHM&PP" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. VHM&PP is the Vorarlberg Health Monitoring and Prevention (also written Promotion) Programme, a population-based cohort in Austria led from the Medical University of Innsbruck (the atlas lead is its long-standing investigator). The atlas gives the country as Germany, which is wrong: every source places it in Vorarlberg, Austria. The expansion of the acronym differs between papers ('Prevention Programme' in the Me-Can cohort profile, 'Promotion Program' in the Br J Cancer paper); I took the Me-Can form as label and kept the other as a synonym. It is one of the cohorts of the Metabolic syndrome and Cancer project (Me-Can: 'in Austria, the Vorarlberg Health Monitoring and Prevention Programme (VHM&PP)', PMID:19380371), which has no COHO term, so no parent is given. It also contributed to ESCAPE/ELAPSE air-pollution pools, which are not in COHO either.
UK Biobank	UK Biobank	existing	COHO:0000176			UK Biobank																			IHCC Cohort Atlas entry "UK Biobank" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
45 and Up Study	45 and Up Study	mint cohort	COHO:0002700	45 and Up Study		Sax Institute's 45 and Up Study	cohort				PMID:24149770		The Sax Institute's 45 and Up Study is a large-scale Australian cohort study of 267 151 men and women aged 45 years and over, randomly sampled from the general population of New South Wales (NSW), Australia.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4052432/fullTextXML	A prospective population-based cohort of men and women aged 45 years and over in New South Wales, Australia, randomly sampled from the Medicare enrolment database and recruited by postal questionnaire in 2005–2009 by the Sax Institute, with oversampling of people aged 80 and over and of rural and remote residents, repeated follow-up surveys, biospecimen sub-studies and routine linkage to mortality, hospital, pharmaceutical and other health records, as a resource for research on health and ageing.	PMID:35604374	Claude Opus 5.5 (Anthropic), 2026-09	Australia	The 45 and Up Study (‘the Study’) recruited 267 357 participants aged ≥45 years from New South Wales, Australia between 2005 and 2009 as a resource for researchers and policy makers to source evidence to support better health and ageing.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9908035/fullTextXML					IHCC Cohort Atlas entry "45 and Up Study" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The 45 and Up Study is a single, well-described prospective cohort run by the Sax Institute in New South Wales (atlas lead is the Sax Institute's lead on the update paper; 267,000 enrolled 2005-2009 matches '267 357 participants'). Nothing in COHO matches it (no label, synonym or acronym containing '45 and Up', 'Sax' or a New South Wales ageing cohort). The study has no acronym of its own; the atlas name is the label. The definition is written from the 2022 update alone; the original 2008 profile (PMID:17881411) was requested but not read. Could not read: PMID:17881411 (original cohort profile; not needed for any quote).
IHCC	International Health Cohorts Consortium	mint aggregation	COHO:0002701	International Health Cohorts Consortium	IHCC	International HundredK+ Cohorts Consortium|International Hundred K+ Cohorts Consortium|International Hundred Thousand Plus Cohort Consortium	cohort aggregation		COHO:0001909		PMID:37337639		As a collaboration model of the International Hundred K+ Cohorts Consortium (IHCC), we endeavored to develop a globally applicable trans‐ethnic PRS for body mass index (BMI) through this relatively new international effort.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10280047/fullTextXML	An international consortium of large population cohorts, established in 2018 to work beyond the constraints of individual health and population cohorts, whose members are chosen for size, longitudinal health follow-up, broad participant selection, biological sample collection and a commitment to data sharing, and which maintains the IHCC Cohort Atlas, a directory of the data its member cohorts hold.	PMID:40841586	Claude Fable 5.1 (Anthropic), 2026-09								The consortium that lists the cohorts of the IHCC Cohort Atlas (https://atlas.ihccglobal.org/), minted 2026-09-25 so that each listed cohort can be recorded as its member; its names are those its papers use (PMID:40841586, PMID:37337639), the earlier "International HundredK+ Cohorts Consortium" among them. The acronym IHCC is shared with the International Hereditary Cancer Centre (COHO:0001909).
